Tempo total receptor,Tempo total emissor,Id do pacote,Id da mensagem,Distancia (m),Tempo zerado receptor,Tempo zerado emissor,Delta tempo,Velocidade (m/s)
1747351654505185,109580,1,1,1,0,0,0,0
1747351654594431,197404,1,2,1,89246,87824,1422,703.2348804500702
1747351680708829,109580,1,1,1,26203644,0,26203644,0.03816263112107614
1747351680799226,200524,1,2,1,26294041,90944,26203097,0.038163427781074885
1747351680888812,292044,1,3,1,26383627,182464,26201163,0.03816624475791399
1747351680983215,383564,1,4,1,26478030,273984,26204046,0.03816204566271941
1747351681073754,475084,1,5,1,26568569,365504,26203065,0.038163474387442844
1747351681167930,566604,1,6,1,26662745,457024,26205721,0.03815960644624126
1747351681257372,658124,1,7,1,26752187,548544,26203643,0.03816263257746261
1747351681351721,749644,1,8,1,26846536,640064,26206472,0.03815851290475116
1747351681441819,841164,1,9,1,26936634,731584,26205050,0.03816058355164367
1747351681536383,932684,1,10,1,27031198,823104,26208094,0.03815615130196038
1747351681629969,1022124,1,11,1,27124784,912544,26212240,0.03815011612895349
1747351681724812,1115724,1,12,1,27219627,1006144,26213483,0.03814830711355679
1747351681818880,1209324,1,13,1,27313695,1099744,26213951,0.038147626048435045
1747351681912730,1302924,1,14,1,27407545,1193344,26214201,0.03814726224156136
1747351682007079,1396524,1,15,1,27501894,1286944,26214950,0.03814617231770421
1747351682101336,1490124,1,16,1,27596151,1380544,26215607,0.03814521632094958
1747351682191746,1580604,1,17,1,27686561,1471024,26215537,0.038145318175248515
1747351682285587,1674204,1,18,1,27780402,1564624,26215778,0.038144967507735224
1747351682380559,1767804,1,19,1,27875374,1658224,26217150,0.038142971299321246
1747351682474444,1861404,1,20,1,27969259,1751824,26217435,0.038142556661244706
1747351682568972,1955004,1,21,1,28063787,1845424,26218363,0.038141206603936335
1747351682658522,2045484,1,22,1,28153337,1935904,26217433,0.03814255957095418
1747351682752760,2139084,1,23,1,28247575,2029504,26218071,0.038141631396146576
1747351682847012,2232684,1,24,1,28341827,2123104,26218723,0.038140682900536384
1747351682941123,2326284,1,25,1,28435938,2216704,26219234,0.03813993955734939
1747351683034927,2416764,1,26,1,28529742,2307184,26222558,0.03813510489708899
1747351683129997,2510364,1,27,1,28624812,2400784,26224028,0.03813296721617289
1747351683224426,2603964,1,28,1,28719241,2494384,26224857,0.038131761786155786
1747351683318309,2697564,1,29,1,28813124,2587984,26225140,0.038131350299750545
1747351683413621,2791164,1,30,1,28908436,2681584,26226852,0.03812886121445303
1747351683506058,2884764,1,31,1,29000873,2775184,26225689,0.03813055207052902
1747351683600356,2978364,1,32,1,29095171,2868784,26226387,0.038129537248115804
1747351683695121,3071964,1,33,1,29189936,2962384,26227552,0.03812784357457379
1747351683784701,3162444,1,34,1,29279516,3052864,26226652,0.03812915197868184
1747351683875028,3252924,1,35,1,29369843,3143344,26226499,0.03812937441631077
1747351683964912,3343404,1,36,1,29459727,3233824,26225903,0.03813024093012164
1747351684059616,3433884,1,37,1,29554431,3324304,26230127,0.03812410058098461
1747351684149751,3524364,1,38,1,29644566,3414784,26229782,0.03812460202681059
1747351684243773,3617964,1,39,1,29738588,3508384,26230204,0.03812398866589067
1747351684337751,3711564,1,40,1,29832566,3601984,26230582,0.03812343927405042
1747351684431985,3805164,1,41,1,29926800,3695584,26231216,0.03812251784286325
1747351684526170,3898764,1,42,1,30020985,3789184,26231801,0.03812166766589911
1747351684620525,3992364,1,43,1,30115340,3882784,26232556,0.03812057048501107
1747351684714860,4085964,1,44,1,30209675,3976384,26233291,0.03811950242918435
1747351684808491,4179564,1,45,1,30303306,4069984,26233322,0.03811945738324715
1747351684902623,4273172,1,46,1,30397438,4163592,26233846,0.038118695977707576
1747351684997203,4366764,1,47,1,30492018,4257184,26234834,0.03811726043320877
1747351685091295,4460364,1,48,1,30586110,4350784,26235326,0.03811654560724727
1747351685185096,4553964,1,49,1,30679911,4444384,26235527,0.03811625358240374
1747351685279335,4647564,1,50,1,30774150,4537984,26236166,0.03811532523463985
1747351685373412,4741164,1,51,1,30868227,4631584,26236643,0.038114632272124145
1747351685467667,4834764,1,52,1,30962482,4725184,26237298,0.03811368076087713
1747351685562848,4928364,1,53,1,31057663,4818784,26238879,0.038111384255402066
1747351685656547,5021964,1,54,1,31151362,4912384,26238978,0.038111240460661236
1747351685750657,5115564,1,55,1,31245472,5005984,26239488,0.03811049971706765
1747351685845275,5209164,1,56,1,31340090,5099584,26240506,0.03810902122085603
1747351685939164,5302764,1,57,1,31433979,5193184,26240795,0.038108601511501465
1747351686033530,5396364,1,58,1,31528345,5286784,26241561,0.03810748910859381
1747351686127375,5489964,1,59,1,31622190,5380384,26241806,0.038107133327637585
1747351686222061,5583564,1,60,1,31716876,5473984,26242892,0.038105556354078654
1747351686315652,5677164,1,61,1,31810467,5567584,26242883,0.03810556942238397
1747351686409656,5770764,1,62,1,31904471,5661184,26243287,0.03810498280950858
1747351686504559,5864364,1,63,1,31999374,5754784,26244590,0.038103090960841836
1747351686597914,5957964,1,64,1,32092729,5848384,26244345,0.03810344666631993
1747351686697224,6051564,1,65,1,32192039,5941984,26250055,0.03809515827681123
1747351686791057,6145164,1,66,1,32285872,6035584,26250288,0.03809482014063998
1747351686885103,6238764,1,67,1,32379918,6129184,26250734,0.038094172909603215
1747351686979216,6332364,1,68,1,32474031,6222784,26251247,0.038093428475988206
1747351687072959,6425964,1,69,1,32567774,6316384,26251390,0.03809322096848967
1747351687167903,6519564,1,70,1,32662718,6409984,26252734,0.03809127079869091
1747351687261905,6613164,1,71,1,32756720,6503584,26253136,0.03809068752776811
1747351687356306,6706764,1,72,1,32851121,6597184,26253937,0.038089525391944073
1747351687450407,6800364,1,73,1,32945222,6690784,26254438,0.03808879854903007
1747351687544384,6893964,1,74,1,33039199,6784384,26254815,0.038088251621654926
1747351687638106,6987564,1,75,1,33132921,6877984,26254937,0.03808807463525812
1747351687733260,7081164,1,76,1,33228075,6971584,26256491,0.0380858203786637
1747351687827488,7174764,1,77,1,33322303,7065184,26257119,0.03808490946779043
1747351687921853,7268372,1,78,1,33416668,7158792,26257876,0.038083811500975936
1747351688012069,7358844,1,79,1,33506884,7249264,26257620,0.03808418280103071
1747351688105976,7452444,1,80,1,33600791,7342864,26257927,0.03808373753190798
1747351688200468,7546044,1,81,1,33695283,7436464,26258819,0.03808244384486599
1747351688293647,7639644,1,82,1,33788462,7530064,26258398,0.038083054419389945
1747351688388438,7733244,1,83,1,33883253,7623664,26259589,0.038081327167763364
1747351688482187,7826844,1,84,1,33977002,7717264,26259738,0.03808111109105506
1747351688576367,7920444,1,85,1,34071182,7810864,26260318,0.03808027001043932
1747351688670493,8014044,1,86,1,34165308,7904464,26260844,0.038079507269454096
1747351688765602,8107644,1,87,1,34260417,7998064,26262353,0.03807731927143009
1747351688858889,8201252,1,88,1,34353704,8091672,26262032,0.038077784689318786
1747351688954035,8294844,1,89,1,34448850,8185264,26263586,0.03807553165055221
1747351689048118,8388444,1,90,1,34542933,8278864,26264069,0.03807483143605814
1747351689141664,8482044,1,91,1,34636479,8372464,26264015,0.03807490971962969
1747351689236240,8575644,1,92,1,34731055,8466064,26264991,0.03807349486622706
1747351689330554,8669244,1,93,1,34825369,8559664,26265705,0.038072459886380354
1747351689425023,8762844,1,94,1,34919838,8653264,26266574,0.038071200301950305
1747351689518996,8853324,1,95,1,35013811,8743744,26270067,0.038066138164017625
1747351689612551,8946924,1,96,1,35107366,8837344,26270022,0.038066203370518685
1747351689706638,9040524,1,97,1,35201453,8930944,26270509,0.0380654977031469
1747351689800907,9134124,1,98,1,35295722,9024544,26271178,0.038064528358796854
1747351689895164,9227724,1,99,1,35389979,9118144,26271835,0.03806357644983687
1747351689989518,9321324,1,100,1,35484333,9211744,26272589,0.038062484058955896
1747351690083683,9415964,1,101,1,35578498,9306384,26272114,0.03806317222892684
1747351690182123,9510604,1,102,1,35676938,9401024,26275914,0.03805766756581712
1747351690276537,9605244,1,103,1,35771352,9495664,26275688,0.03805799490388225
1747351690371008,9699884,1,104,1,35865823,9590304,26275519,0.03805823968691161
1747351690464873,9794524,1,105,1,35959688,9684944,26274744,0.0380593622529681
1747351690562883,9889164,1,106,1,36057698,9779584,26278114,0.038054481383253
