Tempo total receptor,Tempo total emissor,Id do pacote,Id da mensagem,Distancia (m),Tempo zerado receptor,Tempo zerado emissor,Delta tempo,Velocidade (m/s)
1747960597615472,155148,1,2,150,0,0,0,0
1747960597636466,242508,1,3,150,20994,87360,-66366,0
1747960598328378,329868,1,4,150,712906,174720,538186,278.7140505327154
1747960598348994,417228,1,5,150,733522,262080,471442,318.1727550790977
1747960598369509,504588,1,6,150,754037,349440,404597,370.7392788379548
1747960599057593,591948,1,7,150,1442121,436800,1005321,149.20607447770416
1747960599077454,679308,1,8,150,1461982,524160,937822,159.94506420194875
1747960599120235,766668,1,9,150,1504763,611520,893243,167.927428482507
1747960599786768,854036,1,10,150,2171296,698888,1472408,101.8739371152561
1747960599807178,942428,1,11,150,2191706,787280,1404426,106.80520013158402
1747960599827252,1030828,1,12,150,2211780,875680,1336100,112.26704587979941
1747960600519829,1120276,1,13,150,2904357,965128,1939229,77.35032840371096
1747960600539997,1209708,1,14,150,2924525,1054560,1869965,80.21540510116499
1747960600560801,1299148,1,15,150,2945329,1144000,1801329,83.27185095004855
1747960601253119,1388592,1,16,150,3637647,1233444,2404203,62.390738219692764
1747960601276941,1478028,1,17,150,3661469,1322880,2338589,64.14124072250405
1747960601297972,1567468,1,18,150,3682500,1412320,2270180,66.0740558017426
1747960601318531,1656908,1,19,150,3703059,1501760,2201299,68.14158367400339
1747960602006627,1746348,1,20,150,4391155,1591200,2799955,53.57228955465355
1747960602026945,1835788,1,21,150,4411473,1680640,2730833,54.92829477306009
1747960602047842,1925228,1,22,150,4432370,1770080,2662290,56.34247208230508
1747960602739134,2014668,1,23,150,5123662,1859520,3264142,45.953883133760726
1747960602760222,2104108,1,24,150,5144750,1948960,3195790,46.93675116324915
1747960602780731,2193548,1,25,150,5165259,2038400,3126859,47.97146273624746
1747960603472931,2282988,1,26,150,5857459,2127840,3729619,40.21858533002969
1747960603497372,2372428,1,27,150,5881900,2217280,3664620,40.93193837287358
1747960603517819,2461868,1,28,150,5902347,2306720,3595627,41.71734164861928
1747960604209521,2551308,1,29,150,6594049,2396160,4197889,35.73224542144873
1747960604230584,2640748,1,30,150,6615112,2485600,4129512,36.32390461633239
1747960604250865,2730188,1,31,150,6635393,2575040,4060353,36.94260080342768
1747960604942903,2819628,1,32,150,7327431,2664480,4662951,32.16847013833086
1747960604963134,2909068,1,33,150,7347662,2753920,4593742,32.65311808978389
1747960604983684,2998508,1,34,150,7368212,2843360,4524852,33.150255522169566
1747960605675755,3087948,1,35,150,8060283,2932800,5127483,29.25411941882596
1747960605696354,3177388,1,36,150,8080882,3022240,5058642,29.65222682292995
1747960605717000,3266828,1,37,150,8101528,3111680,4989848,30.061035927346882
1747960606409215,3356268,1,38,150,8793743,3201120,5592623,26.821046224642714
1747960606429174,3445708,1,39,150,8813702,3290560,5523142,27.15845437252926
1747960606466196,3535148,1,40,150,8850724,3380000,5470724,27.41867438386583
1747960607141658,3624588,1,41,150,9526186,3469440,6056746,24.76577356884373
1747960607162476,3714028,1,42,150,9547004,3558880,5988124,25.049581471592774
1747960607182520,3803468,1,43,150,9567048,3648320,5918728,25.343283218961915
1747960607875034,3892908,1,44,150,10259562,3737760,6521802,22.99977828213736
1747960607895939,3982356,1,45,150,10280467,3827208,6453259,23.244069391914998
1747960607915947,4071788,1,46,150,10300475,3916640,6383835,23.4968478978545
1747960608608393,4161228,1,47,150,10992921,4006080,6986841,21.468929949887222
1747960608628502,4250668,1,48,150,11013030,4095520,6917510,21.684103094899754
1747960608649490,4340108,1,49,150,11034018,4184960,6849058,21.900821981650616
1747960609342065,4429548,1,50,150,11726593,4274400,7452193,20.12830317196562
1747960609362487,4518988,1,51,150,11747015,4363840,7383175,20.316462768388938
1747960609386990,4608428,1,52,150,11771518,4453280,7318238,20.49673705610558
1747960610075116,4697868,1,53,150,12459644,4542720,7916924,18.946752551874944
1747960610099864,4787308,1,54,150,12484392,4632160,7852232,19.10284871868279
1747960610120110,4876748,1,55,150,12504638,4721600,7783038,19.272679896975962
1747960610808514,4966188,1,56,150,13193042,4811040,8382002,17.895486066455245
1747960610828686,5055628,1,57,150,13213214,4900480,8312734,18.04460481954553
1747960610853356,5145068,1,58,150,13237884,4989920,8247964,18.186306341783258
1747960611544849,5234508,1,59,150,13929377,5079360,8850017,16.949119984741273
1747960611564972,5323948,1,60,150,13949500,5168800,8780700,17.08292049608801
1747960611586002,5413388,1,61,150,13970530,5258240,8712290,17.217057742568258
1747960612277960,5502828,1,62,150,14662488,5347680,9314808,16.10339150307768
1747960612298698,5592268,1,63,150,14683226,5437120,9246106,16.223045679986797
1747960612318655,5681708,1,64,150,14703183,5526560,9176623,16.34588235781289
1747960613010774,5771148,1,65,150,15395302,5616000,9779302,15.338518025110586
1747960613031878,5860588,1,66,150,15416406,5705440,9710966,15.446455069454469
1747960613051786,5950028,1,67,150,15436314,5794880,9641434,15.557851663974466
1747960613744125,6039468,1,68,150,16128653,5884320,10244333,14.64224171549285
1747960613765276,6128908,1,69,150,16149804,5973760,10176044,14.74050230128722
1747960613785715,6218348,1,70,150,16170243,6063200,10107043,14.84113602761955
1747960614477916,6307788,1,71,150,16862444,6152640,10709804,14.005858557262112
1747960614498516,6397228,1,72,150,16883044,6242080,10640964,14.09646719977626
1747960614518355,6486668,1,73,150,16902883,6331520,10571363,14.189277201057234
1747960615210523,6576108,1,74,150,17595051,6420960,11174091,13.423910723476299
1747960615231452,6665548,1,75,150,17615980,6510400,11105580,13.506723647031492
1747960615251717,6754988,1,76,150,17636245,6599840,11036405,13.591382338723525
1747960615272045,6844436,1,77,150,17656573,6689288,10967285,13.677040397874222
1747960615964473,6933868,1,78,150,18349001,6778720,11570281,12.964248664315068
1747960615984794,7023308,1,79,150,18369322,6868160,11501162,13.042160435615113
1747960616012977,7112752,1,80,150,18397505,6957604,11439901,13.112001581132564
1747960616697892,7202188,1,81,150,19082420,7047040,12035380,12.463254172282054
1747960616718356,7291628,1,82,150,19102884,7136480,11966404,12.53509408507351
1747960616738692,7381068,1,83,150,19123220,7225920,11897300,12.607902633370598
1747960617430444,7470508,1,84,150,19814972,7315360,12499612,12.000372491562137
1747960617451597,7559948,1,85,150,19836125,7404800,12431325,12.066292209398435
1747960617471496,7649388,1,86,150,19856024,7494240,12361784,12.134170925491013
1747960618163864,7738828,1,87,150,20548392,7583680,12964712,11.569867498792105
1747960618184420,7828268,1,88,150,20568948,7673120,12895828,11.631668784664312
1747960618209105,7918364908,1,94,150,20593633,7918209760,-7897616127,0
1747960618901365,8454348,1,95,150,21285893,8299200,12986693,11.55028458746195
1747960618921786,8543788,1,96,150,21306314,8388640,12917674,11.611997639822773
1747960619630150,9128268,1,102,150,22014678,8973120,13041558,11.501693279284575
1747960619654050,9218748,1,103,150,22038578,9063600,12974978,11.560713243598563
1747960619683505,9309229852108,1,110,150,22068033,9309229696960,-9309207628927,0
1747960620374879,9942588,1,111,150,22759407,9787440,12971967,11.563396669140463
1747960621108493,10033068,1,112,150,23493021,9877920,13615101,11.017178645975525
1747960621133110,10673708,1,119,150,23517638,10518560,12999078,11.539279939700338
1747960621841234,10765228,1,120,150,24225762,10610080,13615682,11.016708527710914
1747960621862418,11405868,1,127,150,24246946,11250720,12996226,11.54181221533082
1747960622575199,11497388,1,128,150,24959727,11342240,13617487,11.015248261298138
1747960622599529,12138028,1,135,150,24984057,11982880,13001177,11.537416958479989
1747960623311937,12229548,1,136,150,25696465,12074400,13622065,11.011546340441042
1747960623331709,12870188,1,143,150,25716237,12715040,13001197,11.537399210241949
1747960624044625,12961708,1,144,150,26429153,12806560,13622593,11.011119542366126
1747960624069614,13602348,1,151,150,26454142,13447200,13006942,11.532303288505476
1747960624778010,13693868,1,152,150,27162538,13538720,13623818,11.010129465910364
1747960624802780,14334508,1,159,150,27187308,14179360,13007948,11.531411410931224
1747960625518711,14426028,1,160,150,27903239,14270880,13632359,11.003231355629646
1747960625536381,15066668,1,167,150,27920909,14911520,13009389,11.53013412082612
1747960626248820,15158188,1,168,150,28633348,15003040,13630308,11.00488705024127
1747960626272418,15798828,1,175,150,28656946,15643680,13013266,11.526698985481431
1747960626981439,15890348,1,176,150,29365967,15735200,13630767,11.004516473651115
1747960627006526,16530988,1,183,150,29391054,16375840,13015214,11.524973773001351
1747960627718618,16622508,1,184,150,30103146,16467360,13635786,11.000465979738902
1747960627738916,17263148,1,191,150,30123444,17108000,13015444,11.524770111568994
1747960628452493,17354668,1,192,150,30837021,17199520,13637501,10.999082603183677
1747960628476428,17995308,1,199,150,30860956,17840160,13020796,11.520033030238704
1747960628505407,18086828,1,200,150,30889935,17931680,12958255,11.57563267585026
1747960629181195,18681708,1,206,150,31565723,18526560,13039163,11.503805880791582
1747960629205927,18773228,1,207,150,31590455,18618080,12972375,11.563032983551587
1747960629914749,19413868,1,214,150,32299277,19258720,13040557,11.50257615529766
1747960629938327,19505388,1,215,150,32322855,19350240,12972615,11.56281906153848
1747960630647685,20146028,1,222,150,33032213,19990880,13041333,11.501891716130553
1747960630668198,20237548,1,223,150,33052726,20082400,12970326,11.564859665053909
1747960630696921,20329068,0,20329068,150,33081449,20173920,12907529,11.621124384070724
1747960631376640,20878188,1,230,150,33761168,20723040,13038128,11.504719082371334
1747960631401222,20969708,1,231,150,33785750,20814560,12971190,11.564089339528602
1747960631429110,21061228,1,2,150,33813638,20906080,12907558,11.621098274359875
1747960632109935,21610348,1,238,150,34494463,21455200,13039263,11.50371765643503
1747960632134340,21701868,1,239,150,34518868,21546720,12972148,11.563235325406401
1747960632858869,21793388,1,24022342508,150,35243397,21638240,13605157,11.025231094356354
1747960632879762,22434028,1,247,150,35264290,22278880,12985410,11.551425792485567
1747960633596093,22525548,1,248,150,35980621,22370400,13610221,11.021128900111174
1747960633617068,23166188,1,255,150,36001596,23011040,12990556,11.546849880790322
1747960634329845,23257708,1,256,150,36714373,23102560,13611813,11.019839899358006
1747960634353994,23898348,1,263,150,36738522,23743200,12995322,11.54261510411208
1747960635062600,23989868,1,264,150,37447128,23834720,13612408,11.019358220823237
1747960635087581,24630508,1,271,150,37472109,24475360,12996749,11.54134776319832
1747960635795704,24722028,1,272,150,38180232,24566880,13613352,11.018594097912109
1747960635820776,25362668,1,279,150,38205304,25207520,12997784,11.540428737698672
1747960636533112,25454188,1,280,150,38917640,25299040,13618600,11.014348024025963
1747960636553697,26094828,1,287,150,38938225,25939680,12998545,11.539753103135775
1747960637266367,26186348,1,288,150,39650895,26031200,13619695,11.013462489431666
1747960637291165,26826988,1,295,150,39675693,26671840,13003853,11.535042729258782
1747960638003555,26918508,1,296,150,40388083,26763360,13624723,11.00939813602082
1747960638023939,27513388,1,302,150,40408467,27358240,13050227,11.49405293869601
1747960638736533,27604908,1,303,150,41121061,27449760,13671301,10.971889215225383
1747960638761039,28245548,1,310,150,41145567,28090400,13055167,11.489703655265382
1747960639469878,28337068,1,311,150,41854406,28181920,13672486,10.970938277062416
1747960639494330,28977708,1,318,150,41878858,28822560,13056298,11.488708361282807
1747960639531459,29069228,1,319,150,41915987,28914080,13001907,11.536769183166747
1747960640210236,29709868,1,326,150,42594764,29554720,13040044,11.503028670762154
1747960640255467,29801388,1,327,150,42639995,29646240,12993755,11.544007101873168
1747960640939593,30442028,1,334,150,43324121,30286880,13037241,11.505501815913352
1747960640993488,30533548,1,335,150,43378016,30378400,12999616,11.53880237693175
1747960641672602,31174188,1,342,150,44057130,31019040,13038090,11.504752613304555
1747960641696842,31265708,1,343,150,44081370,31110560,12970810,11.56442812746467
1747960641709948,3,1,349,150,44094476,-155145,44249621,3.3898595425257994
1747960642405840,31906348,1,350,150,44790368,31751200,13039168,11.503801469541616
1747960642430084,31997868,1,351,150,44814612,31842720,12971892,11.56346352559827
1747960643139480,32638508,1,358,150,45524008,32483360,13040648,11.502495888241137
1747960643163253,32730028,1,359,150,45547781,32574880,12972901,11.562564148142346
1747960643868951,33370668,1,366,150,46253479,33215520,13037959,11.504868208283213
1747960643892917,33462188,1,367,150,46277445,33307040,12970405,11.564789225933962
1747960644601836,34102828,1,374,150,46986364,33947680,13038684,11.504228494225337
1747960644625826,34194348,1,375,150,47010354,34039200,12971154,11.564121434376617
1747960644655016,34285868,100,34285868,150,47039544,34130720,12908824,11.619958564777086
1747960645334420,34834988,1,382,150,47718948,34679840,13039108,11.503854404764498
1747960645358628,34926508,1,383,150,47743156,34771360,12971796,11.56354910299237
1747960645388157,35018028,1,3,150,47772685,34862880,12909805,11.619075578600915
1747960646068136,35567148,1,390,150,48452664,35412000,13040664,11.502481775467876
1747960646087967,35658668,1,391,150,48472495,35503520,12968975,11.566064395991202
1747960646813411,35750188,1,392,150,49197939,35595040,13602899,11.027061216877373
1747960646838096,36390828,1,399,150,49222624,36235680,12986944,11.550061353925912
1747960647550549,36482348,1,400,150,49935077,36327200,13607877,11.023027324541513
1747960647574657,37077228,1,406,150,49959185,36922080,13037105,11.505621838590699
1747960648287805,37168748,1,407,150,50672333,37013600,13658733,10.981984932277394
1747960648308439,37809388,1,414,150,50692967,37654240,13038727,11.504190554798793
1747960649020623,37900908,1,415,150,51405151,37745760,13659391,10.981455908246568
1747960649044713,38541548,1,422,150,51429241,38386400,13042841,11.500561879118209
1747960649754331,38633068,1,423,150,52138859,38477920,13660939,10.980211535971282
1747960649778497,39273708,1,430,150,52163025,39118560,13044465,11.49913009080863
1747960650490678,39365228,1,431,150,52875206,39210080,13665126,10.976847194822792
1747960650511183,40005868,1,438,150,52895711,39850720,13044991,11.498666422997148
1747960651223444,40097388,1,439,150,53607972,39942240,13665732,10.97636043206467
1747960651244681,40738028,1,446,150,53629209,40582880,13046329,11.497487147533992
1747960651957095,40829548,1,447,150,54341623,40674400,13667223,10.975162986657933
1747960651981312,41470188,1,454,150,54365840,41315040,13050800,11.493548288227542
1747960652693742,41561708,1,455,150,55078270,41406560,13671710,10.971560982495973
1747960652714974,42202348,1,462,150,55099502,42047200,13052302,11.492225662568949
1747960653427783,42293868,1,463,150,55812311,42138720,13673591,10.970051685764187
1747960653451566,42934508,1,470,150,55836094,42779360,13056734,11.488324721940417
1747960653488984,43026028,1,471,150,55873512,42870880,13002632,11.536125916660565
1747960654164374,43666668,1,478,150,56548902,43511520,13037382,11.505377383281399
1747960654217951,43758188,1,479,150,56602479,43603040,12999439,11.5389594889441
1747960654897839,44398828,1,486,150,57282367,44243680,13038687,11.504225847280482
1747960654947301,44490348,1,487,150,57331829,44335200,12996629,11.541454326348779
1747960655627458,45130988,1,494,150,58011986,44975840,13036146,11.506468246059839
1747960655652255,45222508,1,495,150,58036783,45067360,12969423,11.56566487190679
1747960656351749,4545822164,1,501,150,58736277,4545667016,-4486930739,0
1747960656372103,45908908,1,502,150,58756631,45753760,13002871,11.535913876250868
1747960657101606,46000428,1,503,150,59486134,45845280,13640854,10.996378965715783
1747960657121985,46641068,1,510,150,59506513,46485920,13020593,11.52021263547674
1747960657834743,46732588,1,511,150,60219271,46577440,13641831,10.995591427573029
1747960657858642,47373228,1,518,150,60243170,47218080,13025090,11.516235204516821
1747960658571021,47464748,1,519,150,60955549,47309600,13645949,10.992273238013714
1747960658592314,48105388,1,526,150,60976842,47950240,13026602,11.514898513058125
1747960659304564,48196908,1,527,150,61689092,48041760,13647332,10.991159297656127
1747960659325559,48837548,1,534,150,61710087,48682400,13027687,11.51393950438017
1747960660037888,48929068,1,535,150,62422416,48773920,13648496,10.99022192628404
1747960660062879,49569708,1,542,150,62447407,49414560,13032847,11.509380874340042
1747960660775267,49661228,1,543,150,63159795,49506080,13653715,10.98602102065262
1747960660795988,50301868,1,550,150,63180516,50146720,13033796,11.508542868094604
1747960661508578,50393388,1,551,150,63893106,50238240,13654866,10.985094983722286
1747960661532616,51034028,1,558,150,63917144,50878880,13038264,11.504599078527633
1747960662241040,51125548,1,559,150,64625568,50970400,13655168,10.984852035507728
1747960662265704,51766188,1,566,150,64650232,51611040,13039192,11.503780295588868
1747960662978290,51857708,1,567,150,65362818,51702560,13660258,10.980758928564892
1747960662999575,52498348,1,574,150,65384103,52343200,13040903,11.50227097003942
1747960663711504,52589868,1,575,150,66096032,52434720,13661312,10.979911739077476
1747960663732017,53230508,1,582,150,66116545,53075360,13041185,11.50202224721143
1747960664444880,53322028,1,583,150,66829408,53166880,13662528,10.978934498798466
1747960664469780,53962668,1,590,150,66854308,53807520,13046788,11.497082653600259
1747960665182129,54054188,1,591,150,67566657,53899040,13667617,10.974846602739893
1747960665202392,54694828,1,598,150,67586920,54539680,13047240,11.496684356231663
1747960665915519,54786348,1,599,150,68300047,54631200,13668847,10.97385902410057
1747960665939650,55472748,1,606,150,68324178,55317600,13006578,11.532626029690515
1747960666648173,55564268,1,607,150,69032701,55409120,13623581,11.010321001504671
1747960666673291,56204908,1,614,150,69057819,56049760,13008059,11.531313011418538
1747960667385334,56296428,1,615,150,69769862,56141280,13628582,11.006280770809465
1747960667405970,56937068,1,622,150,69790498,56781920,13008578,11.53085294949225
1747960668119068,57028588,1,623,150,70503596,56873440,13630156,11.005009773916015
1747960668143083,57669228,1,630,150,70527611,57514080,13013531,11.526464262466504
1747960668852434,57760748,1,631,150,71236962,57605600,13631362,11.004036133733372
1747960668876223,58401388,1,638,150,71260751,58246240,13014511,11.525596313222986
1747960669588810,58492908,1,639,150,71973338,58337760,13635578,11.000633783181028
1747960669609824,59133548,1,646,150,71994352,58978400,13015952,11.52432031095382
1747960670322390,59225068,1,647,150,72706918,59069920,13636998,10.999488303804107
1747960670346687,59865708,1,654,150,72731215,59710560,13020655,11.520157780080956
1747960671055574,59957228,1,655,150,73440102,59802080,13638022,10.998662416001382
1747960671079840,60597868,1,662,150,73464368,60442720,13021648,11.519279280164845
1747960671792616,60689388,1,663,150,74177144,60534240,13642904,10.994726635912706
1747960671812722,61330028,1,670,150,74197250,61174880,13022370,11.51864061610905
1747960672525634,61421548,1,671,150,74910162,61266400,13643762,10.994035222836633
1747960672549772,62062188,1,678,150,74934300,61907040,13027260,11.514316901635494
1747960673258409,62153708,1,679,150,75642937,61998560,13644377,10.993539683050388
1747960673283405,62794348,1,686,150,75667933,62639200,13028733,11.513015118200672
1747960673996050,62885868,1,687,150,76380578,62730720,13649858,10.989125308116758
1747960674020971,63526508,1,694,150,76405499,63371360,13034139,11.508240014933092
1747960674729236,63618028,1,695,150,77113764,63462880,13650884,10.988299365813965
1747960674754199,64304428,1,702,150,77138727,64149280,12989447,11.547835716177909
1747960675466649,64395948,1,703,150,77851177,64240800,13610377,11.021002577665556
1747960675487501,65036588,1,710,150,77872029,64881440,12990589,11.546820548321557
1747960676198890,65128108,1,711,150,78583418,64972960,13610458,11.02093698830708
1747960676223820,65768748,1,718,150,78608348,65613600,12994748,11.543124960945761
1747960676932571,65860268,1,719,150,79317099,65705120,13611979,11.019705510859222
1747960676957519,66500908,1,726,150,79342047,66345760,12996287,11.541758042123877
1747960677670145,66592428,1,727,150,80054673,66437280,13617393,11.015324298858086
1747960677690762,67233068,1,734,150,80075290,67077920,12997370,11.540796330334521
1747960678403172,67324588,1,735,150,80787700,67169440,13618260,11.01462301351274
1747960678427920,67965228,1,742,150,80812448,67810080,13002368,11.536360146090312
1747960679136750,68056748,1,743,150,81521278,67901600,13619678,11.01347623636917
1747960679160864,68697388,1,750,150,81545392,68542240,13003152,11.535664583479452
1747960679873811,68788908,1,751,150,82258339,68633760,13624579,11.009514495824053
1747960679893413,69429548,1,758,150,82277941,69274400,13003541,11.535319494897582
1747960680607271,69521068,1,759,150,82991799,69365920,13625879,11.008464114498596
1747960680631262,70161708,1,766,150,83015790,70006560,13009230,11.530275043180879
1747960681339734,70253228,1,767,150,83724262,70098080,13626182,11.00821932365207
1747960681363929,70893868,1,774,150,83748457,70738720,13009737,11.529825699012978
1747960682076995,70985388,1,775,150,84461523,70830240,13631283,11.004099907543553
1747960682097507,71626028,1,782,150,84482035,71470880,13011155,11.528569139326985
1747960682809805,71717548,1,783,150,85194333,71562400,13631933,11.003575208299512
1747960682834063,72358188,1,790,150,85218591,72203040,13015551,11.524675367181919
1747960683543310,72449708,1,791,150,85927838,72294560,13633278,11.002489643356498
1747960683567870,73090348,1,798,150,85952398,72935200,13017198,11.523217208496021
1747960683596481,73181868,1,799,150,85981009,73026720,12954289,11.579176595488955
1747960684276997,73776748,1,805,150,86661525,73621600,13039925,11.50313364532388
1747960684297428,73868268,1,806,150,86681956,73713120,12968836,11.566188361083446
1747960685005806,74508908,1,813,150,87390334,74353760,13036574,11.506090480520418
1747960685030012,74600428,1,814,150,87414540,74445280,12969260,11.565810231269941
1747960685738109,75241068,1,821,150,88122637,75085920,13036717,11.505964269992209
1747960685763426,75332588,1,822,150,88147954,75177440,12970514,11.564692039189811
1747960685792064,75424108,100,75424108,150,88176592,75268960,12907632,11.621031650112121
