Tempo total receptor,Tempo total emissor,Id do pacote,Id da mensagem,Distancia (m),Tempo zerado receptor,Tempo zerado emissor,Delta tempo,Velocidade (m/s)
1747961327315998,155148,1,2,200,0,0,0,0
1747961327336299,242508,1,3,200,20301,87360,-67059,0
1747961328032619,329868,1,4,200,716621,174720,541901,369.07110339342427
1747961328048932,417228,1,5,200,732934,262080,470854,424.7601167240801
1747961328069568,504588,1,6,200,753570,349440,404130,494.8902580852696
1747961328757220,591948,1,7,200,1441222,436800,1004422,199.1194935993039
1747961328778122,679308,1,8,200,1462124,524160,937964,213.22779978762512
1747961328818114,766668,1,9,200,1502116,611520,890596,224.56871578134192
1747961329486323,854036,1,10,200,2170325,698888,1471437,135.92155151732624
1747961329507187,942428,1,11,200,2191189,787280,1403909,142.45937592821187
1747961329527559,1030828,1,12,200,2211561,875680,1335881,149.71393410041762
1747961330223403,1120276,1,13,200,2907405,965128,1942277,102.97192419000997
1747961330243594,1209708,1,14,200,2927596,1054560,1873036,106.77851360037928
1747961330264926,1299148,1,15,200,2948928,1144000,1804928,110.80774413162186
1747961330957039,1388592,1,16,200,3641041,1233444,2407597,83.07038096492063
1747961330976836,1478028,1,17,200,3660838,1322880,2337958,85.54473604743968
1747961330997899,1567468,1,18,200,3681901,1412320,2269581,88.1219925616226
1747961331018379,1656908,1,19,200,3702381,1501760,2200621,90.88343699346684
1747961331709004,1746348,1,20,200,4393006,1591200,2801806,71.38252969691692
1747961331737586,1835788,1,21,200,4421588,1680640,2740948,72.96745505569606
1747961331751094,1925228,1,22,200,4435096,1770080,2665016,75.04645375487426
1747961332443562,2014668,1,23,200,5127564,1859520,3268044,61.198686431394435
1747961332463358,2104108,1,24,200,5147360,1948960,3198400,62.53126563281641
1747961332484327,2193548,1,25,200,5168329,2038400,3129929,63.89921304924169
1747961333176640,2282988,1,26,200,5860642,2127840,3732802,53.57905401893805
1747961333196589,2372428,1,27,200,5880591,2217280,3663311,54.5954192805361
1747961333217632,2461868,1,28,200,5901634,2306720,3594914,55.63415425236876
1747961333909958,2551308,1,29,200,6593960,2396160,4197800,47.64400400209634
1747961333930322,2640748,1,30,200,6614324,2485600,4128724,48.44111643209863
1747961333951082,2730188,1,31,200,6635084,2575040,4060044,49.26054988566626
1747961334643014,2819628,1,32,200,7327016,2664480,4662536,42.89511115839105
1747961334663846,2909068,1,33,200,7347848,2753920,4593928,43.535728030565565
1747961334683296,2998508,1,34,200,7367298,2843360,4523938,44.20927077249953
1747961335375899,3087948,1,35,200,8059901,2932800,5127101,39.008398703282815
1747961335396483,3177388,1,36,200,8080485,3022240,5058245,39.539405465729715
1747961335416966,3266828,1,37,200,8100968,3111680,4989288,40.085879989289054
1747961336109392,3356268,1,38,200,8793394,3201120,5592274,35.763626746472006
1747961336129633,3445708,1,39,200,8813635,3290560,5523075,36.21171177288014
1747961336149789,3535148,1,40,200,8833791,3380000,5453791,36.67173897936316
1747961336841924,3624588,1,41,200,9525926,3469440,6056486,33.022448991048606
1747961336862739,3714028,1,42,200,9546741,3558880,5987861,33.400908938934954
1747961336887401,3803468,1,43,200,9571403,3648320,5923083,33.76619912299051
1747961337575317,3892908,1,44,200,10259319,3737760,6521559,30.667513703395155
1747961337599294,3982356,1,45,200,10283296,3827208,6456088,30.97851206489131
1747961337619810,4071788,1,46,200,10303812,3916640,6387172,31.312762518372764
1747961338312117,4161228,1,47,200,10996119,4006080,6990039,28.612143651845145
1747961338333364,4250668,1,48,200,11017366,4095520,6921846,28.894026246755562
1747961338353641,4340108,1,49,200,11037643,4184960,6852683,29.185648891098566
1747961339041610,4429548,1,50,200,11725612,4274400,7451212,26.841270923441716
1747961339065815,4518988,1,51,200,11749817,4363840,7385977,27.078340482240876
1747961339086323,4608428,1,52,200,11770325,4453280,7317045,27.333438567071816
1747961339779056,4697868,1,53,200,12463058,4542720,7920338,25.251447602362425
1747961339798682,4787308,1,54,200,12482684,4632160,7850524,25.47600644237251
1747961339819799,4876748,1,55,200,12503801,4721600,7782201,25.699670311779407
1747961340511869,4966188,1,56,200,13195871,4811040,8384831,23.85259762540235
1747961340532882,5055628,1,57,200,13216884,4900480,8316404,24.048855731395445
1747961340553022,5145068,1,58,200,13237024,4989920,8247104,24.250937056207853
1747961341244284,5234508,1,59,200,13928286,5079360,8848926,22.601612896299503
1747961341264902,5323948,1,60,200,13948904,5168800,8780104,22.778773463275606
1747961341285902,5413388,1,61,200,13969904,5258240,8711664,22.957726560620333
1747961341978247,5502828,1,62,200,14662249,5347680,9314569,21.471739594177677
1747961341998506,5592268,1,63,200,14682508,5437120,9245388,21.632407423030813
1747961342018686,5681708,1,64,200,14702688,5526560,9176128,21.79568550046381
1747961342710699,5771148,1,65,200,15394701,5616000,9778701,20.452614309405718
1747961342731170,5860588,1,66,200,15415172,5705440,9709732,20.597890858367666
1747961342752519,5950028,1,67,200,15436521,5794880,9641641,20.7433568621773
1747961343444204,6039468,1,68,200,16128206,5884320,10243886,19.523840854925563
1747961343465006,6128908,1,69,200,16149008,5973760,10175248,19.65554058240153
1747961343489011,6218348,1,70,200,16173013,6063200,10109813,19.782759582199986
1747961344177525,6307788,1,71,200,16861527,6152640,10708887,18.676077168430293
1747961344197841,6397228,1,72,200,16881843,6242080,10639763,18.79741118293706
1747961344217937,6486668,1,73,200,16901939,6331520,10570419,18.920725848237428
1747961344910300,6576108,1,74,200,17594302,6420960,11173342,17.899747452463192
1747961344930674,6665548,1,75,200,17614676,6510400,11104276,18.011079695785657
1747961344955505,6754988,1,76,200,17639507,6599840,11039667,18.116488477415125
1747961344976248,6844436,1,77,200,17660250,6689288,10970962,18.22994191393608
1747961345664510,6933868,1,78,200,18348512,6778720,11569792,17.286395468475146
1747961345684867,7023308,1,79,200,18368869,6868160,11500709,17.39023220220597
1747961345704952,7112752,1,80,200,18388954,6957604,11431350,17.495746346669467
1747961346397294,7202188,1,81,200,19081296,7047040,12034256,16.619224320971735
1747961346421567,7291628,1,82,200,19105569,7136480,11969089,16.709709485826366
1747961346442576,7381068,1,83,200,19126578,7225920,11900658,16.805793427556694
1747961347134454,7470508,1,84,200,19818456,7315360,12503096,15.996038101283075
1747961347154487,7559948,1,85,200,19838489,7404800,12433689,16.085330749385804
1747961347175327,7649388,1,86,200,19859329,7494240,12365089,16.174570195168027
1747961347867539,7738828,1,87,200,20551541,7583680,12967861,15.422743966796068
1747961347887848,7828268,1,88,200,20571850,7673120,12898730,15.505402469855559
1747961347912850,7918364908,1,94,200,20596852,7918209760,-7897612908,0
1747961348604228,8454348,1,95,200,21288230,8299200,12989030,15.397608597408738
1747961348624884,8543788,1,96,200,21308886,8388640,12920246,15.47958142592641
1747961349334350,9128268,1,102,200,22018352,8973120,13045232,15.331271992709674
1747961349354458,9218748,1,103,200,22038460,9063600,12974860,15.414424510168125
1747961349383492,9309229852108,1,110,200,22067494,9309229696960,-9309207629466,0
1747961350074701,9942588,1,111,200,22758703,9787440,12971263,15.41869901180787
1747961350808631,10033068,1,112,200,23492633,9877920,13614713,14.689990159910092
1747961350833037,10673708,1,119,200,23517039,10518560,12998479,15.386415595240027
1747961351541920,10765228,1,120,200,24225922,10610080,13615842,14.688772093565715
1747961351566280,11405868,1,127,200,24250282,11250720,12999562,15.385133745275418
1747961352279112,11497388,1,128,200,24963114,11342240,13620874,14.68334557679632
1747961352298794,12138028,1,135,200,24982796,11982880,12999916,15.384714793541741
1747961353012453,12229548,1,136,200,25696455,12074400,13622055,14.682072565409552
1747961353036275,12870188,1,143,200,25720277,12715040,13005237,15.378420247166584
1747961353745264,12961708,1,144,200,26429266,12806560,13622706,14.681370940545879
1747961353769947,13602348,1,151,200,26453949,13447200,13006749,15.376632546687878
1747961354481498,13693868,1,152,200,27165500,13538720,13626780,14.676981649369843
1747961354502115,14334508,1,159,200,27186117,14179360,13006757,15.376623089060555
1747961355215086,14426028,1,160,200,27899088,14270880,13628208,14.675443756068296
1747961355240348,15066668,1,167,200,27924350,14911520,13012830,15.36944692276776
1747961355948792,15158188,1,168,200,28632794,15003040,13629754,14.67377914524356
1747961355973267,15798828,1,175,200,28657269,15643680,13013589,15.36855052053665
1747961356685670,15890348,1,176,200,29369672,15735200,13634472,14.668701508939986
1747961356706588,16530988,1,183,200,29390590,16375840,13014750,15.367179546284024
1747961357418887,16622508,1,184,200,30102889,16467360,13635529,14.667564419392896
1747961357443411,17263148,1,191,200,30127413,17108000,13019413,15.361675676161436
1747961358152454,17354668,1,192,200,30836456,17199520,13636936,14.66605108361585
1747961358176155,17995308,1,199,200,30860157,17840160,13019997,15.36098664231643
1747961358205515,18086828,1,200,200,30889517,17931680,12957837,15.434674784070829
1747961358881084,18681708,1,206,200,31565086,18526560,13038526,15.339157202278848
1747961358906017,18773228,1,207,200,31590019,18618080,12971939,15.417895505059034
1747961359613833,19413868,1,214,200,32297835,19258720,13039115,15.338464305284521
1747961359639183,19505388,1,215,200,32323185,19350240,12972945,15.416699908925846
1747961360347614,20146028,1,222,200,33031616,19990880,13040736,15.336557691222335
1747961360371419,20237548,1,223,200,33055421,20082400,12973021,15.416609593093236
1747961360400603,20329068,0,20329068,200,33084605,20173920,12910685,15.491044820627254
1747961361079804,20878188,1,230,200,33763806,20723040,13040766,15.336522409803228
1747961361101001,20969708,1,231,200,33785003,20814560,12970443,15.419673792175026
1747961361133034,21061228,1,2,200,33817036,20906080,12910956,15.49071966475604
1747961361813543,21610348,1,238,200,34497545,21455200,13042345,15.334665660201445
1747961361834152,21701868,1,239,200,34518154,21546720,12971434,15.418495749968738
1747961362373905,21793388,1,24022342508,200,35057907,21638240,13419667,14.903499468354914
1747961362395169,22434028,1,247,200,35079171,22278880,12800291,15.624644783466252
1747961363394642,22525548,1,248,200,36078644,22370400,13708244,14.589760730841967
