Tempo total receptor,Tempo total emissor,Id do pacote,Id da mensagem,Distancia (m),Tempo zerado receptor,Tempo zerado emissor,Delta tempo,Velocidade (m/s)
1747352159869185,109580,1,1,25,0,0,0,0
1747352159959450,197404,1,2,25,90265,87824,2441,10241.704219582138
1747352160049394,285804,1,3,25,180209,176224,3985,6273.525721455459
1747352160135529,374204,1,4,25,266344,264624,1720,14534.883720930233
1747352160224771,462604,1,5,25,355586,353024,2562,9758.001561280249
1747352160315031,551004,1,6,25,445846,441424,4422,5653.550429669833
1747352160405537,639404,1,7,25,536352,529824,6528,3829.656862745098
1747352160491708,727804,1,8,25,622523,618224,4299,5815.305885089556
1747352160582034,816204,1,9,25,712849,706624,6225,4016.0642570281125
1747352160671262,904604,1,10,25,802077,795024,7053,3544.590954203885
1747352160761497,994044,1,11,25,892312,884464,7848,3185.5249745158
1747352160852230,1083484,1,12,25,983045,973904,9141,2734.930532764468
1747352160946432,1173964,1,13,25,1077247,1064384,12863,1943.5590453237971
1747352161036094,1264444,1,14,25,1166909,1154864,12045,2075.5500207555
1747352161125869,1354924,1,15,25,1256684,1245344,11340,2204.5855379188715
1747352161220810,1445404,1,16,25,1351625,1335824,15801,1582.1783431428391
1747352161310573,1535884,1,17,25,1441388,1426304,15084,1657.3853089366216
1747352161400703,1626364,1,18,25,1531518,1516784,14734,1696.755802904846
1747352161494525,1716844,1,19,25,1625340,1607264,18076,1383.0493472007083
1747352161580411,1807324,1,20,25,1711226,1697744,13482,1854.3242842308264
1747352161674747,1897804,1,21,25,1805562,1788224,17338,1441.9194832160572
1747352161765618,1988284,1,22,25,1896433,1878704,17729,1410.1190140447852
1747352161855245,2078764,1,23,25,1986060,1969184,16876,1481.3936951884334
1747352161945253,2169244,1,24,25,2076068,2059664,16404,1524.01853206535
1747352162039564,2259724,1,25,25,2170379,2150144,20235,1235.4830738818878
1747352162129624,2350204,1,26,25,2260439,2240624,19815,1261.6704516780217
1747352162219985,2440684,1,27,25,2350800,2331104,19696,1269.293257514216
1747352162310461,2531164,1,28,25,2441276,2421584,19692,1269.5510867357302
1747352162404117,2621644,1,29,25,2534932,2512064,22868,1093.2307154101802
1747352162494883,2712124,1,30,25,2625698,2602544,23154,1079.7270450030232
1747352162588018,2802604,1,31,25,2718833,2693024,25809,968.6543453833934
1747352162674957,2893084,1,32,25,2805772,2783504,22268,1122.6872642356745
1747352162769006,2983564,1,33,25,2899821,2873984,25837,967.60459805705
1747352162859143,3074044,1,34,25,2989958,2964464,25494,980.622891660783
1747352162949590,3164524,1,35,25,3080405,3054944,25461,981.8938769097836
1747352163039130,3255004,1,36,25,3169945,3145424,24521,1019.534276742384
1747352163133158,3345484,1,37,25,3263973,3235904,28069,890.6622964836653
1747352163223496,3435964,1,38,25,3354311,3326384,27927,895.1910337666058
1747352163313093,3526444,1,39,25,3443908,3416864,27044,924.4194645762461
1747352163403929,3616924,1,40,25,3534744,3507344,27400,912.4087591240875
1747352163498283,3707404,1,41,25,3629098,3597824,31274,799.3860714970901
1747352163588157,3797884,1,42,25,3718972,3688304,30668,815.1819486109299
1747352163678469,3888364,1,43,25,3809284,3778784,30500,819.672131147541
1747352163768757,3978844,1,44,25,3899572,3869264,30308,824.8647221855615
1747352163864068,4069324,1,45,25,3994883,3959744,35139,711.4602009163608
1747352163952506,4159804,1,46,25,4083321,4050224,33097,755.3554702843157
1747352164046231,4250284,1,47,25,4177046,4140704,36342,687.909306037092
1747352164132393,4340772,1,48,25,4263208,4231192,32016,780.8595702148925
1747352164227135,4431244,1,49,25,4357950,4321664,36286,688.9709529846222
1747352164317068,4521724,1,50,25,4447883,4412144,35739,699.5159349729987
1747352164407083,4612204,1,51,25,4537898,4502624,35274,708.7373136020865
1747352164497144,4702684,1,52,25,4627959,4593104,34855,717.2572084349448
1747352164591685,4793164,1,53,25,4722500,4683584,38916,642.4092918079967
1747352164681016,4883644,1,54,25,4811831,4774064,37767,661.9535573384171
1747352164771300,4974124,1,55,25,4902115,4864544,37571,665.4068297357004
1747352164866026,5064604,1,56,25,4996841,4955024,41817,597.8429825190711
1747352164956001,5155084,1,57,25,5086816,5045504,41312,605.151045701007
1747352165045919,5245564,1,58,25,5176734,5135984,40750,613.4969325153374
1747352165136084,5336044,1,59,25,5266899,5226464,40435,618.2762458266353
