Tempo total receptor,Tempo total emissor,Id do pacote,Id da mensagem,Distancia (m),Tempo zerado receptor,Tempo zerado emissor,Delta tempo,Velocidade (m/s)
1747351032225321,7109244,1,76,50.0,0,0,0,0
1747351032503569,7386924,1,79,50.0,278248,277680,568,88028.1690140845
1747351032593851,7477404,1,80,50.0,368530,368160,370,135135.13513513515
1747351032875812,7755084,1,83,50.0,650491,645840,4651,10750.376263169212
1747351032970529,7845564,1,84,50.0,745208,736320,8888,5625.562556255625
1747351033060244,7936044,1,85,50.0,834923,826800,8123,6155.361319709467
1747351033146688,8026524,1,86,50.0,921367,917280,4087,12233.912405187179
1747351033240587,8117004,1,87,50.0,1015266,1007760,7506,6661.337596589396
1747351033330803,8207484,1,88,50.0,1105482,1098240,7242,6904.170118751726
1747351033420557,8297964,1,89,50.0,1195236,1188720,6516,7673.4192756292205
1747351033510656,8388444,1,90,50.0,1285335,1279200,6135,8149.959250203749
1747351033604731,8478924,1,91,50.0,1379410,1369680,9730,5138.74614594039
1747351033695164,8569404,1,92,50.0,1469843,1460160,9683,5163.688939378291
1747351033793439,8659884,1,93,50.0,1568118,1550640,17478,2860.7392150131595
1747351033875529,8750364,1,94,50.0,1650208,1641120,9088,5501.760563380281
1747351033970075,8840844,1,95,50.0,1744754,1731600,13154,3801.1251330393793
1747351034060184,8931324,1,96,50.0,1834863,1822080,12783,3911.444887741532
1747351034150286,9021804,1,97,50.0,1924965,1912560,12405,4030.6328093510683
1747351034243662,9112284,1,98,50.0,2018341,2003040,15301,3267.7602771060715
1747351034338359,9202764,1,99,50.0,2113038,2093520,19518,2561.7378829798135
1747351034428387,9293244,1,100,50.0,2203066,2184000,19066,2622.46931710899
1747351034522159,9384764,1,101,50.0,2296838,2275520,21318,2345.4357819682896
1747351034612355,9476284,1,102,50.0,2387034,2367040,19994,2500.75022506752
1747351034702608,9567804,1,103,50.0,2477287,2458560,18727,2669.941795268863
1747351034797206,9659324,1,104,50.0,2571885,2550080,21805,2293.052052281587
1747351034887618,9750844,1,105,50.0,2662297,2641600,20697,2415.809054452336
1747351034976829,9842364,1,106,50.0,2751508,2733120,18388,2719.164672612573
1747351035071877,9933884,1,107,50.0,2846556,2824640,21916,2281.438218653039
1747351035165591,10025404,1,108,50.0,2940270,2916160,24110,2073.828287017835
1747351035255892,10117964,1,109,50.0,3030571,3008720,21851,2288.224795203881
1747351035350093,10210524,1,110,50.0,3124772,3101280,23492,2128.3841307679213
1747351035444206,10303084,1,111,50.0,3218885,3193840,25045,1996.4064683569575
1747351035538210,10395644,1,112,50.0,3312889,3286400,26489,1887.5759749329911
1747351035628539,10488204,1,113,50.0,3403218,3378960,24258,2061.175694616209
1747351035722968,10580764,1,114,50.0,3497647,3471520,26127,1913.7290925096643
1747351035817132,10673324,1,115,50.0,3591811,3564080,27731,1803.036313151347
1747351035910723,10765884,1,116,50.0,3685402,3656640,28762,1738.4048397190738
1747351036005616,10858444,1,117,50.0,3780295,3749200,31095,1607.9755587715067
1747351036103860,10951004,1,118,50.0,3878539,3841760,36779,1359.471437505098
1747351036590713,11426284,1,123,50.0,4365392,4317040,48352,1034.0833884844474
1747351036869674,11713324,1,126,50.0,4644353,4604080,40273,1241.5265810841008
1747351037271369,12092924,1,130,50.0,5046048,4983680,62368,801.693175987686
1747351037352485,12188604,1,131,50.0,5127164,5079360,47804,1045.9375784453184
1747351037438408,12281164,1,132,50.0,5213087,5171920,41167,1214.5650642504918
1747351037528905,12373724,1,133,50.0,5303584,5264480,39104,1278.6415711947627
1747351037623046,12466284,1,134,50.0,5397725,5357040,40685,1228.9541600098316
1747351037716973,12558844,1,135,50.0,5491652,5449600,42052,1189.0040901740701
1747351037807522,12651404,1,136,50.0,5582201,5542160,40041,1248.720061936515
1747351037905642,12743964,1,137,50.0,5680321,5634720,45601,1096.4671827372206
1747351037995713,12836524,1,138,50.0,5770392,5727280,43112,1159.7699016515123
1747351038089927,12929084,1,139,50.0,5864606,5819840,44766,1116.9190903810927
1747351038184588,13021644,1,140,50.0,5959267,5912400,46867,1066.848742185333
1747351038273947,13114204,1,141,50.0,6048626,6004960,43666,1145.0556497045754
1747351038368302,13206764,1,142,50.0,6142981,6097520,45461,1099.8438221772508
1747351038463056,13299324,1,143,50.0,6237735,6190080,47655,1049.2078480747036
1747351038556491,13391892,1,144,50.0,6331170,6282648,48522,1030.460409711059
1747351038647434,13484444,1,145,50.0,6422113,6375200,46913,1065.8026559802186
1747351038741619,13577004,1,146,50.0,6516298,6467760,48538,1030.1207301495735
1747351038835502,13669564,1,147,50.0,6610181,6560320,49861,1002.7877499448466
1747351038929555,13762124,1,148,50.0,6704234,6652880,51354,973.6339915099117
1747351039019910,13854684,1,149,50.0,6794589,6745440,49149,1017.3146961281003
1747351039118220,13947244,1,150,50.0,6892899,6838000,54899,910.7634018834586
1747351039207826,14039804,1,151,50.0,6982505,6930560,51945,962.5565501973241
1747351039302673,14132364,1,152,50.0,7077352,7023120,54232,921.9648915769287
1747351039392161,14224924,1,153,50.0,7166840,7115680,51160,977.3260359655982
1747351039490598,14317484,1,154,50.0,7265277,7208240,57037,876.6239458597051
1747351039580348,14410044,1,155,50.0,7355027,7300800,54227,922.0499013406607
1747351039675350,14502604,1,156,50.0,7450029,7393360,56669,882.3166104925092
1747351039769105,14595164,1,157,50.0,7543784,7485920,57864,864.0951195907646
1747351039862989,14687724,1,158,50.0,7637668,7578480,59188,844.7658309116713
1747351039953427,14780284,1,159,50.0,7728106,7671040,57066,876.1784600287386
1747351040048094,14872844,1,160,50.0,7822773,7763600,59173,844.9799739746168
1747351040145989,14965404,1,161,50.0,7920668,7856160,64508,775.0976623054505
1747351041402856,16206124,1,174,50.0,9177535,9096880,80655,619.9243692269542
1747351041484827,16298684,1,175,50.0,9259506,9189440,70066,713.6128792852453
1747351041579007,16391244,1,176,50.0,9353686,9282000,71686,697.4862595206874
1747351041673193,16483804,1,177,50.0,9447872,9374560,73312,682.0165866433872
1747351046207122,20977644,1,224,50.0,13981801,13868400,113401,440.91321946014585
1747351046408620,21165884,1,226,50.0,14183299,14056640,126659,394.7607355182024
1747351046494017,21258444,1,227,50.0,14268696,14149200,119496,418.42404766686747
1747351046674224,21446692,1,229,50.0,14448903,14337448,111455,448.6115472612265
1747351046764799,21539244,1,230,50.0,14539478,14430000,109478,456.7127642083341
1747351046858489,21631804,1,231,50.0,14633168,14522560,110608,452.046868219297
1747351046948727,21724364,1,232,50.0,14723406,14615120,108286,461.7402064902204
1747351047042839,21816924,1,233,50.0,14817518,14707680,109838,455.2158633624064
1747351047137434,21909484,1,234,50.0,14912113,14800240,111873,446.9353642076283
1747351047231586,22002044,1,235,50.0,15006265,14892800,113465,440.6645220993258
1747351047325988,22094604,1,236,50.0,15100667,14985360,115307,433.62501842906323
1747351047423918,22187164,1,237,50.0,15198597,15077920,120677,414.3291596575984
1747351047509560,22279724,1,238,50.0,15284239,15170480,113759,439.52566390351535
1747351047608327,22372284,1,239,50.0,15383006,15263040,119966,416.7847556807762
1747351047698275,22464844,1,240,50.0,15472954,15355600,117354,426.0613187449938
1747351047792217,22557404,1,241,50.0,15566896,15448160,118736,421.10227732111576
1747351047891035,22649964,1,242,50.0,15665714,15540720,124994,400.01920092164426
1747351049034026,23795004,1,254,50.0,16808705,16685760,122945,406.68591646671274
1747351049128216,23887564,1,255,50.0,16902895,16778320,124575,401.3646397752358
1747351049221903,23980124,1,256,50.0,16996582,16870880,125702,397.76614532783884
1747351049316337,24072684,1,257,50.0,17091016,16963440,127576,391.92324575155203
1747351049410951,24165244,1,258,50.0,17185630,17056000,129630,385.7131836766181
1747351049505042,24257804,1,259,50.0,17279721,17148560,131161,381.21087823362126
1747351049595038,24350364,1,260,50.0,17369717,17241120,128597,388.8115585900138
1747351049689099,24442924,1,261,50.0,17463778,17333680,130098,384.325662193116
1747351049783679,24535484,1,262,50.0,17558358,17426240,132118,378.4495678105935
1747351049877708,24628044,1,263,50.0,17652387,17518800,133587,374.2879172374557
1747351049967129,24720604,1,264,50.0,17741808,17611360,130448,383.29449282472706
1747351050066318,24813164,1,265,50.0,17840997,17703920,137077,364.7584934015188
1747351050172495,24905724,1,266,50.0,17947174,17796480,150694,331.798213598418
