Tempo total receptor,Tempo total emissor,Id do pacote,Id da mensagem,Distancia (m),Tempo zerado receptor,Tempo zerado emissor,Delta tempo,Velocidade (m/s)
1747959751135890,109580,1,1,75,0,0,0,0
1747959751221492,197404,1,2,75,85602,87824,-2222,0
1747959751323150,285804,1,3,75,187260,176224,11036,6795.940558173251
1747959751406078,377324,1,4,75,270188,267744,2444,30687.397708674303
1747959751492297,465724,1,5,75,356407,356144,263,285171.10266159696
1747959751582277,554124,1,6,75,446387,444544,1843,40694.519804666306
1747959751668193,642524,1,7,75,532303,532944,-641,0
1747959751758307,730924,1,8,75,622417,621344,1073,69897.48369058715
1747959751848553,819324,1,9,75,712663,709744,2919,25693.73072970195
1747959751938363,907724,1,10,75,802473,798144,4329,17325.017325017325
1747959752028716,997164,1,11,75,892826,887584,5242,14307.516215185044
1747959752122997,1086604,1,12,75,987107,977024,10083,7438.262421898245
1747959752212782,1177084,1,13,75,1076892,1067504,9388,7988.9220281210055
1747959752303199,1267564,1,14,75,1167309,1157984,9325,8042.8954423592495
1747959752397249,1361164,1,15,75,1261359,1251584,9775,7672.634271099743
1747959752487656,1451644,1,16,75,1351766,1342064,9702,7730.364873222015
1747959752577621,1542124,1,17,75,1441731,1432544,9187,8163.70958963753
1747959752667977,1632604,1,18,75,1532087,1523024,9063,8275.405494869248
1747959752769603,1723084,1,19,75,1633713,1613504,20209,3711.2177742589934
1747959752974355,1910284,1,21,75,1838465,1800704,37761,1986.1762135536662
1747959753073279,2003884,1,22,75,1937389,1894304,43085,1740.7450388766392
1747959753142348,2094364,1,23,75,2006458,1984784,21674,3460.367260311895
1747959753224692,2184844,1,24,75,2088802,2075264,13538,5539.961589599646
1747959753314286,2275324,1,25,75,2178396,2165744,12652,5927.916534935188
1747959753716123,2649724,1,29,75,2580233,2540144,40089,1870.837386814338
1747959753789861,2743332,1,30,75,2653971,2633752,20219,3709.382264206934
1747959753879153,2833804,1,31,75,2743263,2724224,19039,3939.2825253427177
1747959754063754,3017884,1,33,75,2927864,2908304,19560,3834.3558282208587
1747959754153504,3108364,1,34,75,3017614,2998784,18830,3983.0058417419013
1747959754247959,3198844,1,35,75,3112069,3089264,22805,3288.75246656435
1747959754341839,3289324,1,36,75,3205949,3179744,26205,2862.0492272467086
1747959754428290,3379804,1,37,75,3292400,3270224,22176,3382.034632034632
1747959754526944,3470284,1,38,75,3391054,3360704,30350,2471.169686985173
1747959754612781,3560764,1,39,75,3476891,3451184,25707,2917.4932897654335
1747959754702587,3651244,1,40,75,3566697,3541664,25033,2996.045220309192
1747959754916203,3835324,1,42,75,3780313,3725744,54569,1374.4067144349356
1747959754977404,3925804,1,43,75,3841514,3816224,25290,2965.599051008304
1747959755071794,4016284,1,44,75,3935904,3906704,29200,2568.4931506849316
1747959755256521,4200364,1,46,75,4120631,4090784,29847,2512.81535832747
1747959755534747,4478044,1,49,75,4398857,4368464,30393,2467.6734774454644
1747959755624946,4568524,1,50,75,4489056,4458944,30112,2490.701381509033
1747959755719082,4659004,1,51,75,4583192,4549424,33768,2221.037668798863
1747959755808182,4749484,1,52,75,4672292,4639904,32388,2315.6724712856612
1747959755915478,4839964,1,53,75,4779588,4730384,49204,1524.2663198113976
1747959757405802,6334444,1,69,75,6269912,6224864,45048,1664.8907831646245
1747959757590207,6518524,1,71,75,6454317,6408944,45373,1652.9654199634144
1747959757868998,6796204,1,74,75,6733108,6686624,46484,1613.4583942862062
